mode,n_rows,input_mib,input_gib,cpu_percent,gpu_percent,cpu_vecs,gpu_vecs,cpu_rows,gpu_rows,cpu_ms,gpu_ms,total_ms,eff_gib_s,cpu_sum,gpu_sum,total_sum,reference_sum,match
TPCH_X25,150030375,1716.96,1.67672,100,0,146515,0,150030375,0,209.798,0,209.91,8.00587,17232458964725,0,17232458964725,17232458964725,YES
TPCH_X25,150030375,1716.96,1.67672,75,25,109887,36628,112524288,37506087,201.365,49.7036,201.523,8.38301,12925065163774,4307393800951,17232458964725,17232458964725,YES
TPCH_X25,150030375,1716.96,1.67672,50,50,73258,73257,75016192,75014183,148.001,96.025,148.187,11.3431,8617273289836,8615185674889,17232458964725,17232458964725,YES
TPCH_X25,150030375,1716.96,1.67672,25,75,36629,109886,37508096,112522279,93.3401,138.914,146.746,11.43,4308720450274,12923738514451,17232458964725,17232458964725,YES
TPCH_X25,150030375,1716.96,1.67672,0,100,0,146515,0,150030375,0,184.243,194.259,8.63388,0,17232458964725,17232458964725,17232458964725,YES
