system,cpu_percent,gpu_percent,input_mib,compressed_mib,compression_reduction_percent,cpu_ms,gpu_ms,e2e_ms,eff_gib_s,match
DPF_FUSED_BINPACK,100,0,2747.138,1137.077,58.609,1431.522,0.000,1431.767,1.920,YES
DPF_FUSED_BINPACK,75,25,2747.138,1137.077,58.609,904.077,5.933,904.357,2.979,YES
DPF_FUSED_BINPACK,50,50,2747.138,1137.077,58.609,556.841,11.987,557.126,4.815,YES
DPF_FUSED_BINPACK,25,75,2747.138,1137.077,58.609,329.850,17.906,330.140,8.575,YES
DPF_FUSED_BINPACK,0,100,2747.138,1137.077,58.609,0.000,23.749,23.767,112.903,YES
