system,cpu_percent,gpu_percent,input_mib,compressed_mib,compression_reduction_percent,cpu_ms,gpu_ms,e2e_ms,eff_gib_s,match
DPF_FUSED_BINPACK_COMMON_TIMING_STRINGS,100,0,2747.138,1137.077,58.609,112.308,0.000,112.400,23.883,YES
DPF_FUSED_BINPACK_COMMON_TIMING_STRINGS,75,25,2747.138,1137.077,58.609,107.312,80.869,107.413,25.075,YES
DPF_FUSED_BINPACK_COMMON_TIMING_STRINGS,50,50,2747.138,1137.077,58.609,91.764,124.800,124.887,21.481,YES
DPF_FUSED_BINPACK_COMMON_TIMING_STRINGS,25,75,2747.138,1137.077,58.609,57.648,170.538,170.632,15.723,YES
DPF_FUSED_BINPACK_COMMON_TIMING_STRINGS,0,100,2747.138,1137.077,58.609,0.000,216.638,216.638,12.384,YES
