mode,n_rows,input_mib,input_gib,cpu_percent,gpu_percent,cpu_vecs,gpu_vecs,cpu_rows,gpu_rows,cpu_ms,gpu_ms,total_ms,eff_gib_s,cpu_sum,gpu_sum,total_sum,reference_sum,match
TPCH_X40,240048600,2747.14,2.68275,100,0,234423,0,240048600,0,372.993,0,373.152,7.21616,27571934343560,0,27571934343560,27571934343560,YES
TPCH_X40,240048600,2747.14,2.68275,75,25,175818,58605,180037632,60010968,301.809,78.0352,301.99,8.93387,20679096539665,6892837803895,27571934343560,27571934343560,YES
TPCH_X40,240048600,2747.14,2.68275,50,50,117212,117211,120025088,120023512,239.686,148.028,239.846,11.2035,13786104924367,13785829419193,27571934343560,27571934343560,YES
TPCH_X40,240048600,2747.14,2.68275,25,75,58606,175817,60012544,180036056,134.433,220.648,229.336,11.6983,6893047585449,20678886758111,27571934343560,27571934343560,YES
TPCH_X40,240048600,2747.14,2.68275,0,100,0,234423,0,240048600,0,293.801,301.774,8.88993,0,27571934343560,27571934343560,27571934343560,YES
