Mode,Input_MiB,CPU_Percent,GPU_Percent,Assignment_Trials,Timed_Runs_Per_Assignment,Total_Rows,CPU_Rows_Avg,GPU_Rows_Avg,Total_Chunks,CPU_Chunks_Avg,GPU_Chunks_Avg,Compression_Reduction_Percent,Preprocess_Compress_ms_Not_Counted,CPU_Decomp_ms_Avg,CPU_Decomp_ms_StdDev,CPU_SPJA_ms_Avg,CPU_SPJA_ms_StdDev,CPU_Total_ms_Avg,CPU_Total_ms_StdDev,GPU_H2D_Comp_ms_Avg,GPU_H2D_Comp_ms_StdDev,GPU_Decomp_ms_Avg,GPU_Decomp_ms_StdDev,GPU_SPJA_ms_Avg,GPU_SPJA_ms_StdDev,GPU_D2H_Result_ms_Avg,GPU_D2H_Result_ms_StdDev,GPU_Total_ms_Avg,GPU_Total_ms_StdDev,CPU_Effective_GiBps_Avg,CPU_Effective_GiBps_StdDev,GPU_Effective_GiBps_Avg,GPU_Effective_GiBps_StdDev,Balance_Difference_ms,Total_ms_Avg,Total_ms_StdDev,Effective_GiBps_Avg,Effective_GiBps_StdDev,Physical_GiBps_Avg,Physical_GiBps_StdDev,Overlap_Efficiency_Avg,Overlap_Efficiency_StdDev,Final_Result,Reference_Result,Valid
TPCH_FAIR_ASSIGN,2747.14,100,0,5,20,240048600,2.40049e+08,0,1832,1832,0,46.3249,127071,127.073,7.59565,116.99,2.40148,213.731,3.73016,0,0,0,0,0,0,0,0,0,0,12.555,0.215807,0,0,213.731,213.814,3.7361,12.557,0.212967,6.73999,0.11431,0.999613,2.16985e-05,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN,2747.14,75,25,5,20,240048600,1.80018e+08,6.0031e+07,1832,1374,458,46.3249,127071,113.27,3.67494,121.794,3.4119,197.503,1.99402,224.45,2.72866,77.8437,0.464517,4.41191,0.0387873,0.0307562,0.00215669,306.736,2.79809,10.1873,0.103553,2.18736,0.020192,109.234,306.894,2.8063,8.74742,0.0814077,4.69518,0.0436956,0.999488,2.32791e-05,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN,2747.14,50,50,5,20,240048600,1.20002e+08,1.20047e+08,1832,916,916,46.3249,127071,77.6229,1.28624,81.2479,2.48402,135.734,1.61276,266.274,1.00663,157.976,1.25853,9.09279,0.045984,0.0267542,0.0012926,433.37,0.881089,9.88166,0.121481,3.09582,0.00619101,297.635,433.523,0.878757,6.18845,0.0125649,3.32165,0.00674422,0.999645,6.98905e-06,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN,2747.14,25,75,5,20,240048600,5.99858e+07,1.80063e+08,1832,458,1374,46.3249,127071,42.5736,0.643801,40.9507,2.33197,74.035,0.485634,286.356,1.14158,224.178,1.78573,13.8625,0.0690319,0.0275222,0.00102508,524.424,1.25917,9.05543,0.0645579,3.83729,0.00962281,450.389,524.584,1.25604,5.11438,0.0122087,2.74515,0.00655305,0.999696,1.29863e-05,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN,2747.14,0,100,5,20,240048600,0,2.40049e+08,1832,0,1832,46.3249,127071,0,0,0,0,0,0,299.918,1.70604,319.732,2.49667,18.719,0.0470593,0.025303,0.00114804,638.394,1.26513,0,0,4.20236,0.00832551,638.394,638.453,1.26039,4.20204,0.00834216,2.25545,0.00447766,0.999908,1.11441e-05,27571934343560,27571934343560,YES
