Mode,MB,Run,Base_ms,Base_GBps,Pipe_ms,Pipe_Phys_GBps,Pipe_Eff_GBps,H2DComp_ms,Decomp_ms,Kernel_ms,D2H_ms
HIGH,1024,8,345.117,2.89757,177.736,0.0220784,5.62631,0.826904,5.77529,8.28052,162.853
HIGH,1024,9,345.079,2.89788,177.753,0.0220764,5.62579,0.825797,5.83769,8.23496,162.854
HIGH,1024,10,345.081,2.89787,177.792,0.0220715,5.62455,0.829426,5.87167,8.23673,162.854
MEDIUM,4,1,1.36292,2.86608,110.025,0.00780077,0.0355032,0.226569,109.116,0.039632,0.642619
MEDIUM,4,2,1.36373,2.86439,110.008,0.00780197,0.0355087,0.229854,109.097,0.038378,0.643132
MEDIUM,4,3,1.36237,2.86725,110.025,0.00780078,0.0355033,0.233579,109.111,0.038156,0.642482
MEDIUM,4,4,1.35482,2.88323,110.002,0.0078024,0.0355106,0.231132,109.091,0.03807,0.642248
MEDIUM,4,5,1.36253,2.86691,110.012,0.00780168,0.0355073,0.230969,109.102,0.037831,0.642076
MEDIUM,4,6,1.36143,2.86923,110.011,0.00780176,0.0355077,0.228269,109.101,0.03855,0.64304
MEDIUM,4,7,1.36715,2.85722,110.034,0.00780017,0.0355005,0.232785,109.115,0.037746,0.647811
MEDIUM,4,8,1.36186,2.86832,110.007,0.00780209,0.0355092,0.23092,109.095,0.038026,0.642259
MEDIUM,4,9,1.35442,2.88407,110.02,0.00780117,0.035505,0.230913,109.108,0.038055,0.642287
MEDIUM,4,10,1.36308,2.86575,110.029,0.00780049,0.035502,0.232291,109.113,0.041532,0.642513
MEDIUM,16,1,5.4057,2.89047,114.948,0.029869,0.135931,0.724671,111.538,0.134826,2.55111
MEDIUM,16,2,5.40643,2.89008,114.957,0.0298667,0.13592,0.720242,111.54,0.144755,2.55161
MEDIUM,16,3,5.40161,2.89266,114.927,0.0298745,0.135956,0.716725,111.524,0.134502,2.55149
MEDIUM,16,4,5.4072,2.88967,114.937,0.0298719,0.135944,0.718751,111.532,0.134728,2.55126
MEDIUM,16,5,5.40255,2.89215,114.947,0.0298692,0.135932,0.728574,111.532,0.134931,2.55166
MEDIUM,16,6,5.40534,2.89066,114.967,0.0298642,0.135909,0.72518,111.554,0.135596,2.55131
MEDIUM,16,7,5.40356,2.89161,114.973,0.0298626,0.135902,0.7298,111.554,0.13597,2.55269
MEDIUM,16,8,5.40157,2.89268,114.931,0.0298734,0.135951,0.726251,111.519,0.13481,2.55152
MEDIUM,16,9,5.40172,2.8926,114.961,0.0298656,0.135916,0.723884,111.551,0.134945,2.55123
MEDIUM,16,10,5.40901,2.8887,114.961,0.0298657,0.135916,0.725928,111.549,0.134552,2.55155
MEDIUM,64,1,21.5769,2.89661,124.88,0.10996,0.500482,2.54604,111.625,0.521105,10.1874
MEDIUM,64,2,21.578,2.89646,124.889,0.109952,0.500443,2.55297,111.629,0.520816,10.1865
MEDIUM,64,3,21.5781,2.89646,124.899,0.109944,0.500406,2.54103,111.65,0.521528,10.1856
MEDIUM,64,4,21.5809,2.89609,124.878,0.109962,0.500488,2.54081,111.631,0.521042,10.1848
MEDIUM,64,5,21.58,2.8962,124.893,0.109949,0.500429,2.54487,111.642,0.520093,10.1852
MEDIUM,64,6,21.5779,2.89649,124.897,0.109945,0.500412,2.54833,111.641,0.521275,10.1864
MEDIUM,64,7,21.5719,2.89729,124.892,0.10995,0.500434,2.54478,111.639,0.521454,10.186
MEDIUM,64,8,21.5778,2.8965,124.878,0.109961,0.500487,2.53569,111.636,0.520982,10.1856
MEDIUM,64,9,21.5877,2.89517,124.858,0.109979,0.500568,2.54017,111.609,0.521921,10.1871
MEDIUM,64,10,21.5734,2.89708,124.855,0.109982,0.500582,2.54076,111.602,0.522915,10.1893
