Mode,Input_MiB,CPU_Percent,GPU_Percent,Assignment_Trials,Timed_Runs_Per_Assignment,Total_Rows,CPU_Rows_Avg,GPU_Rows_Avg,Total_Chunks,CPU_Chunks_Avg,GPU_Chunks_Avg,Compression_Reduction_Percent,Preprocess_Compress_ms_Not_Counted,CPU_Decomp_ms_Avg,CPU_Decomp_ms_StdDev,CPU_SPJA_ms_Avg,CPU_SPJA_ms_StdDev,CPU_Total_ms_Avg,CPU_Total_ms_StdDev,GPU_H2D_Comp_ms_Avg,GPU_H2D_Comp_ms_StdDev,GPU_Decomp_ms_Avg,GPU_Decomp_ms_StdDev,GPU_SPJA_ms_Avg,GPU_SPJA_ms_StdDev,GPU_D2H_Result_ms_Avg,GPU_D2H_Result_ms_StdDev,GPU_Total_ms_Avg,GPU_Total_ms_StdDev,CPU_Effective_GiBps_Avg,CPU_Effective_GiBps_StdDev,GPU_Effective_GiBps_Avg,GPU_Effective_GiBps_StdDev,Balance_Difference_ms,Total_ms_Avg,Total_ms_StdDev,Effective_GiBps_Avg,Effective_GiBps_StdDev,Physical_GiBps_Avg,Physical_GiBps_StdDev,Overlap_Efficiency_Avg,Overlap_Efficiency_StdDev,Final_Result,Reference_Result,Valid
TPCH_FAIR_ASSIGN,68.6785,100,0,5,20,6001215,6.00122e+06,0,46,46,0,23.8247,5840.93,30.0595,4.00751,45.5981,3.31483,75.6578,7.24982,0,0,0,0,0,0,0,0,0,0,0.893231,0.0883353,0,0,75.6578,75.8843,7.24855,0.921105,0.0834457,0.701654,0.063565,0.9969,0.000318825,18750877201415,18750877201415,YES
TPCH_FAIR_ASSIGN,68.6785,75,25,5,20,6001215,4.55942e+06,1.44179e+06,46,35,11,23.8247,5840.93,25.6768,4.10611,37.7099,3.48308,63.387,7.57091,4.48087,0.0708535,23.4504,0.752726,0.10731,0.00235182,0.0207666,0.00110941,28.0594,0.705426,0.813733,0.10353,0.574543,0.0142572,35.3276,63.6257,7.5727,1.11853,0.116536,0.852044,0.0887719,0.996037,0.000383652,18750877201415,18750877201415,YES
TPCH_FAIR_ASSIGN,68.6785,50,50,5,20,6001215,2.98656e+06,3.01466e+06,46,23,23,23.8247,5840.93,18.0697,2.5834,25.0969,2.58105,43.1669,5.14448,8.83484,0.376855,23.3136,0.0127525,0.207508,0.0001624,0.0204758,0.0016004,32.3764,0.374501,0.781359,0.0857169,1.04073,0.0119525,10.7965,43.4014,5.15916,1.62917,0.158562,1.24103,0.120785,0.994445,0.000402639,18750877201415,18750877201415,YES
TPCH_FAIR_ASSIGN,68.6785,25,75,5,20,6001215,1.55601e+06,4.44521e+06,46,12,34,23.8247,5840.93,13.9968,0.244378,18.3497,0.638244,32.3469,0.851296,11.5997,0.234931,23.5276,0.0101442,0.299128,0.00107077,0.0146752,0.00102074,35.4411,0.239202,0.537824,0.0112766,1.40177,0.00756385,3.09531,35.5055,0.242229,1.88905,0.0128655,1.43899,0.00980036,0.998201,0.000193455,18750877201415,18750877201415,YES
TPCH_FAIR_ASSIGN,68.6785,0,100,5,20,6001215,0,6.00122e+06,46,0,46,23.8247,5840.93,0.00032703,3.89281e-05,0.0001006,3.08221e-07,0.00068175,4.02321e-05,15.2509,0.456877,24.3177,0.0118598,0.399002,0.000163358,0.0140281,0.00117207,39.9816,0.458575,0,0,1.67767,0.0192425,39.9809,40.029,0.465254,1.67586,0.0194841,1.27659,0.014842,0.998818,0.000170227,18750877201415,18750877201415,YES
