CPU_GPU_Split,Uncompressed_E2E_ms,Compressed_E2E_ms,Uncompressed_GiBps,Compressed_GiBps
100/0,83.6468,263.821,32.1417,10.1696
75/25,121.126,212.585,22.1485,12.6222
50/50,241.842,264.658,11.093,10.1383
25/75,362.694,378.479,7.39673,7.08883
0/100,483.723,459.399,5.54605,5.84015
