CPU_GPU_Split,With_H2D_E2E_ms,Without_H2D_E2E_ms,With_H2D_GiBps,Without_H2D_GiBps
100/0,263.018,263.452,10.2003,10.1838
75/25,212.407,207.339,12.643,12.9394
50/50,265.39,149.83,10.1108,17.9085
25/75,381.431,186.042,7.03385,14.4265
0/100,460.417,237.949,5.82696,11.2764
